,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.18210147058823528,0.011245371500769168,0.18243775888238825,0.01303518650429235,6.175332612330743,7.145004731556539,0.9981566957618145
Band2,0.23235588235294116,0.017167630556583387,0.25134050572396893,0.017175123581527604,7.388506967302125,6.8334085395650215,0.9244665187716405
Band3,0.403025,0.022407759455678057,0.4573739391947069,0.028290032120422234,5.559893171807718,6.185317897699237,0.8811717622337677
Band4,0.5339261029411765,0.029494758050541647,0.5818848391478367,0.034971709764473856,5.5241273816858385,6.010074057899412,0.9175803647386737
Band5,0.5807849264705882,0.03170845407069567,0.6126851122724476,0.0367856446989554,5.459586264297,6.004004987573067,0.9479337996584548
Band6,0.6013183823529412,0.03247687571498754,0.64250902091032,0.038506536339165405,5.4009451013132965,5.993151082082638,0.9358909568319849
Band7,0.6055595588235294,0.03322856978272407,0.6477419345698353,0.03808467225958858,5.487250477439405,5.879605785424495,0.9348778062758603
Band8,0.6188257352941177,0.03565027637118253,0.6507324123933614,0.03827987881500497,5.7609556839517255,5.882583698914502,0.9509680530866864
Band8a,0.6327283088235294,0.03622604847780658,0.6503578109586664,0.038338107218379894,5.725371849595903,5.894925312247304,0.9728926110549052
Band11,0.7529246323529412,0.03743301787287151,0.7447018235738627,0.04224445984716514,4.97168192729872,5.672667705368544,1.0110417465336887
Band12,0.5937158088235294,0.02750799095276806,0.6095422099081236,0.037387268684523314,4.633191595028638,6.133663604717171,0.9740355945374485
