,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.1801309523809524,0.006038412283249159,0.18728299604345078,0.012807514345304475,3.3522346956111915,6.838588988790555,0.961811569584037
Band2,0.21398666666666669,0.012040954452491884,0.23107211665661087,0.014699000314018575,5.626964819844795,6.3612176694872735,0.9260600965743766
Band3,0.31192714285714285,0.011335598223068332,0.33713201293981176,0.01757505945222182,3.6340531699929164,5.213109042646596,0.9252373873875669
Band4,0.46147666666666665,0.013522072901576723,0.485815364930793,0.020650281245831424,2.930174779853815,4.250643914642997,0.9499013410833691
Band5,0.5204219047619048,0.014882847147942658,0.5196147064409143,0.022249813344504075,2.859765703895885,4.281982990224337,1.001553455494975
Band6,0.5320604761904763,0.015484170404208809,0.5420837804857634,0.023185668038220482,2.9102275205771,4.277137385930217,0.9815096768136001
Band7,0.5144957142857143,0.015433131667332605,0.5373101173184451,0.023133561806329875,2.99966185116989,4.305439458646823,0.9575395990185505
Band8,0.5295504761904762,0.017371869015928482,0.5342051908465668,0.023694510899845804,3.2804935123275993,4.435469985287224,0.9912866540126386
Band8a,0.5217328571428571,0.015969993184498394,0.5328825599571754,0.02405835452936963,3.060952164667982,4.5147573475294545,0.9790766227830494
Band11,0.7008095238095239,0.017267746006766345,0.6861096997881907,0.0225324142086354,2.46397136741247,3.2840833201441977,1.021424888798207
Band12,0.6092852380952382,0.013937032586754721,0.6001423963546164,0.01814633040690791,2.2874397269700806,3.0236708016517926,1.0152344540165088
