day,rain
-50403,
-50402,
-50401,
-50400,
-50399,
-50398,
-50397,
-50396,
-50395,
-50394,
-50393,
-50392,
-50391,
-50390,
-50389,
-50388,
-50387,
-50386,
-50385,
-50384,
-50383,
-50382,
-50381,
-50380,
-50379,
-50378,
-50377,
-50376,
-50375,
-50374,
-50373,
-50372,
-50371,
-50370,
-50369,
-50368,
-50367,
-50366,
-50365,
-50364,
-50363,
-50362,
-50361,
-50360,
-50359,
-50358,
-50357,
-50356,
-50355,
-50354,
-50353,
-50352,
-50351,
-50350,
-50349,
-50348,
-50347,
-50346,
-50345,
-50344,
-50343,
-50342,
-50341,
-50340,
-50339,
-50338,
-50337,
-50336,
-50335,
-50334,
-50333,
-50332,
-50331,
-50330,
-50329,
-50328,
-50327,
-50326,
-50325,
-50324,
-50323,
-50322,
-50321,
-50320,
-50319,
-50318,
-50317,
-50316,
-50315,
-50314,
-50313,
-50312,
-50311,
-50310,
-50309,
-50308,
-50307,
-50306,
-50305,
-50304,
-50303,
-50302,
-50301,
-50300,
-50299,
-50298,
-50297,
-50296,
-50295,
-50294,
-50293,
-50292,
-50291,
-50290,
-50289,
-50288,
-50287,
-50286,
-50285,
-50284,
-50283,
-50282,
-50281,
-50280,
-50279,
-50278,
-50277,
-50276,
-50275,
-50274,
-50273,
-50272,
-50271,
-50270,
-50269,
-50268,
-50267,
-50266,
-50265,
-50264,
-50263,
-50262,
-50261,
-50260,
-50259,
-50258,
-50257,
-50256,
-50255,
-50254,
-50253,
-50252,
-50251,
-50250,
-50249,
-50248,
-50247,
-50246,
-50245,
-50244,
-50243,
-50242,
-50241,
-50240,
-50239,
-50238,
-50237,
-50236,
-50235,
-50234,
-50233,
-50232,
-50231,
-50230,
-50229,
-50228,
-50227,
-50226,
-50225,
-50224,
-50223,
-50222,
-50221,
-50220,
-50219,
-50218,
-50217,
-50216,
-50215,
-50214,
-50213,
-50212,
-50211,
-50210,
-50209,
-50208,
-50207,
-50206,
-50205,
-50204,
-50203,
-50202,
-50201,
-50200,
-50199,
-50198,
-50197,
-50196,
-50195,
-50194,
-50193,
-50192,
-50191,
-50190,
-50189,
-50188,
-50187,
-50186,
-50185,
-50184,
-50183,
-50182,
-50181,
-50180,
-50179,
-50178,
-50177,
-50176,
-50175,
-50174,
-50173,
-50172,
-50171,
-50170,
-50169,
-50168,
-50167,
-50166,
-50165,
-50164,
-50163,
-50162,
-50161,
-50160,
-50159,0.0
-50158,0.0
-50157,0.0
-50156,0.0
-50155,0.0
-50154,0.0
-50153,17.3
-50152,0.0
-50151,0.0
-50150,16.3
-50149,11.4
-50148,18.0
-50147,3.6
-50146,0.0
-50145,0.0
-50144,0.0
-50143,0.0
-50142,1.5
-50141,0.0
-50140,0.0
-50139,0.0
-50138,0.0
-50137,0.0
-50136,1.3
-50135,0.0
-50134,0.0
-50133,0.0
-50132,0.0
-50131,0.0
-50130,0.0
-50129,0.0
-50128,0.0
-50127,0.0
-50126,0.0
-50125,3.3
-50124,0.0
-50123,0.0
-50122,0.0
-50121,0.0
-50120,0.0
-50119,0.0
-50118,0.0
-50117,0.0
-50116,0.0
-50115,0.0
-50114,0.0
-50113,3.8
-50112,0.0
-50111,0.5
-50110,0.0
-50109,0.0
-50108,22.9
-50107,0.0
-50106,0.0
-50105,0.0
-50104,0.0
-50103,0.0
-50102,0.0
-50101,0.0
-50100,0.5
-50099,0.0
-50098,0.0
-50097,0.0
-50096,0.0
-50095,0.0
-50094,0.0
-50093,0.0
-50092,0.0
-50091,3.0
-50090,0.0
-50089,0.0
-50088,0.0
-50087,0.0
-50086,0.0
-50085,0.0
-50084,0.0
-50083,0.0
-50082,6.4
-50081,0.0
-50080,0.0
-50079,0.0
-50078,0.0
-50077,0.0
-50076,5.6
-50075,6.1
-50074,0.0
-50073,0.0
-50072,0.0
-50071,0.0
-50070,0.8
-50069,0.0
-50068,0.0
-50067,0.0
-50066,13.0
-50065,0.0
-50064,0.0
-50063,0.0
-50062,0.0
-50061,0.0
-50060,0.0
-50059,0.0
-50058,0.0
-50057,0.0
-50056,0.0
-50055,0.0
-50054,1.8
-50053,0.0
-50052,0.0
-50051,0.0
-50050,0.0
-50049,0.0
-50048,0.0
-50047,0.0
-50046,0.0
-50045,0.0
-50044,0.0
-50043,0.0
-50042,0.0
-50041,0.0
-50040,0.0
-50039,0.0
-50038,0.0
-50037,0.0
-50036,0.0
-50035,0.0
-50034,0.0
-50033,0.0
-50032,0.0
-50031,0.0
-50030,0.8
-50029,0.8
-50028,0.0
-50027,5.8
-50026,0.0
-50025,0.0
-50024,0.0
-50023,0.0
-50022,0.0
-50021,0.0
-50020,0.0
-50019,0.0
-50018,0.0
-50017,0.0
-50016,0.0
-50015,0.0
-50014,0.0
-50013,0.0
-50012,0.0
-50011,5.6
-50010,0.0
-50009,0.0
-50008,0.0
-50007,0.0
-50006,0.0
-50005,3.6
-50004,6.4
-50003,16.5
-50002,0.5
-50001,0.0
-50000,0.0
-49999,0.0
-49998,0.0
-49997,0.0
-49996,0.0
-49995,0.0
-49994,0.0
-49993,0.0
-49992,0.0
-49991,0.0
-49990,0.0
-49989,0.0
-49988,0.0
-49987,0.0
-49986,0.0
-49985,0.0
-49984,0.0
-49983,0.0
-49982,0.0
-49981,0.0
-49980,0.0
-49979,0.0
-49978,0.0
-49977,0.0
-49976,0.0
-49975,0.0
-49974,0.0
-49973,0.0
-49972,0.0
-49971,2.0
-49970,0.0
-49969,0.0
-49968,0.0
-49967,0.0
-49966,0.0
-49965,0.0
-49964,0.0
-49963,0.0
-49962,0.0
-49961,0.0
-49960,0.0
-49959,0.0
-49958,0.0
-49957,0.0
-49956,0.0
-49955,0.0
-49954,0.0
-49953,18.0
-49952,0.0
-49951,0.0
-49950,38.6
-49949,13.2
-49948,0.0
-49947,0.0
-49946,0.0
-49945,0.0
-49944,0.0
-49943,0.0
-49942,0.0
-49941,0.0
-49940,0.0
-49939,8.9
-49938,0.0
-49937,0.0
-49936,0.0
-49935,0.0
-49934,0.0
-49933,0.0
-49932,0.0
-49931,0.0
-49930,0.0
-49929,0.0
-49928,0.0
-49927,0.0
-49926,0.0
-49925,0.0
-49924,0.0
-49923,0.0
-49922,0.0
-49921,0.0
-49920,0.0
-49919,0.0
-49918,0.0
-49917,0.0
-49916,0.0
-49915,0.0
-49914,9.7
-49913,4.3
-49912,1.8
-49911,40.9
-49910,5.6
-49909,0.0
-49908,0.0
-49907,0.0
-49906,0.0
-49905,0.0
-49904,0.0
-49903,0.0
-49902,0.0
-49901,2.8
-49900,0.0
-49899,0.0
-49898,0.0
-49897,0.0
-49896,0.0
-49895,0.0
-49894,0.0
-49893,0.0
-49892,0.8
-49891,0.0
-49890,0.0
-49889,0.0
-49888,0.0
-49887,0.0
-49886,0.0
-49885,17.0
-49884,2.5
-49883,7.4
-49882,2.3
-49881,5.6
-49880,9.7
-49879,0.0
